category_name,category_url,is_page_list
Plante,/c/plante,False
Alimentaire,/c/alimentaire,False
Maison,/c/maison,False
Animalerie,/c/animalerie,False
Jardinage,/c/jardinage,False
Aménagement extérieur,/c/amenagement-exterieur,False
Graines de fleurs et bulbes,/c/graines-de-fleurs-et-bulbes,False
Matériel & article de cave,/c/materiel-et-article-de-cave,False
Son & image,/c/son-et-image,False
Animaux du jardin,/c/animaux-du-jardin,False
Loisirs pour adulte,/c/loisirs-pour-adulte,False
Produit d'entretien pour mobilier de jardin,/c/produit-d-entretien-pour-mobilier-de-jardin,False
Semences fourragères,/c/semences-fourrageres,True
Bouchon pour bouteille de vin,/c/bouchon-pour-bouteille-de-vin,True
Image & poster,/c/image-et-poster,True
Abri pour animaux du jardin & insectes,/c/abri-pour-animaux-du-jardin-et-insectes,True
Pêche,/c/peche,False
"Lasure, peinture & vernis pour mobilier de jardin",/c/lasure-peinture-et-vernis-pour-mobilier-de-jardin,False
"Nettoyant, protecteur & décapant pour mobilier de jardin",/c/nettoyant-protecteur-et-decapant-pour-mobilier-de-jardin,False
Chasse,/c/chasse,False
Apiculture,/c/apiculture,False
Produit œnologique,/c/produit-nologique,True
Accessoires de pêche,/c/accessoires-de-peche,True
Accessoires de peinture pour mobilier de jardin,/c/accessoires-de-peinture-pour-mobilier-de-jardin,True
Produit de traitement pour mobilier en bois,/c/produit-de-traitement-pour-mobilier-en-bois,True
Cartouches & accessoires de chasse,/c/cartouches-et-accessoires-de-chasse,True
Matériel & accessoires d'apiculture,/c/materiel-et-accessoires-d-apiculture,True
Produit de nettoyage pour mobilier,/c/produit-de-nettoyage-pour-mobilier,True
Vernis pour mobilier de jardin,/c/vernis-pour-mobilier-de-jardin,True
Peinture pour mobilier de jardin,/c/peinture-pour-mobilier-de-jardin,True
Lasure pour mobilier de jardin,/c/lasure-pour-mobilier-de-jardin,True
Bouteille de vin vide,/c/bouteille-de-vin-vide,True
Casier à bouteilles,/c/casier-a-bouteilles,True
Graines de fleurs,/c/graines-de-fleurs,False
Graines d'engrais vert,/c/graines-d-engrais-vert,True
Graines d'arbre & d'arbuste,/c/graines-d-arbre-et-d-arbuste,True
Graines aromatiques,/c/graines-aromatiques,False
Bulbe à fleurs,/c/bulbe-a-fleurs,False
